"accuracy_nb1_test","mean_herf_diff_nb1_test","mean_herf_percentdiff_nb1_test","accuracy_nb1_train","mean_herf_diff_nb1_train","mean_herf_percentdiff_nb1_train","accuracy_svm1_test","mean_herf_diff_svm1_test","mean_herf_percentdiff_svm1_test","accuracy_svm1_train","mean_herf_diff_svm1_train","mean_herf_percentdiff_svm1_train","DEP_VAR","CLEAN_NAMES_METHOD","NGRAMS","TRIM_PROP_MIN","TRIM_PROP_MAX","train_N","test_N","SUB_SAMPLE","TRAIN_PROP"
0.668235294117647,0.00242582250276087,-0.977506359653049,0.683667510219973,0.00235742499870407,-0.977439937718742,0.987941176470588,6.83362567028315e-05,-0.979998529561809,0.986470702744793,9.33037989307263e-05,-0.979890666516377,"d3","lower","2",0.001,0.9,10274,3400,"All",0.75
0.138823529411765,0.00354202088083673,-0.972836002020259,0.188242164687561,0.00231519268251575,-0.972722022957404,0.438235294117647,0.00205040801840494,-0.97842558675868,0.500486665368892,0.00314610034304473,-0.978055021444753,"d10","lower","2",0.001,0.9,10274,3400,"All",0.75
0.91,0.000108169534316515,-0.978070368059699,0.911621569009149,0.000128977898959898,-0.977932649579417,0.922352941176471,0.000116656220928947,-0.978129093836508,0.93381350983064,0.000111105317158747,-0.977983981675008,"religion","lower","2",0.001,0.9,10274,3400,"All",0.75
0.381176470588235,0.00471475939999872,-0.975217422755812,0.388553630523652,0.00453823853075439,-0.975259124186692,0.987647058823529,6.78178441897432e-05,-0.98,0.986081370449679,9.55075043233524e-05,-0.97989287022177,"d3","lower","2",0.02,0.9,10274,3400,"All",0.75
0.0897058823529412,0.00303368062865962,-0.973359436259705,0.120401012263967,0.00179182636393556,-0.973333100136513,0.425882352941176,0.00250543158459424,-0.978880610324869,0.4452988125365,0.0038029427326838,-0.978714942674635,"d10","lower","2",0.02,0.9,10274,3400,"All",0.75
0.892352941176471,0.00011693712054913,-0.978046616804786,0.894198948802803,0.000142444965066604,-0.977912204860045,0.91,0.000127164480287445,-0.978115811279078,0.915028226591396,0.000124488632716489,-0.977990499825224,"religion","lower","2",0.02,0.9,10274,3400,"All",0.75
0.687941176470588,0.00212791126494383,-0.977804270890866,0.712380766984621,0.00185983301206557,-0.977937529705381,0.987647058823529,6.48769678085816e-05,-0.979997059123619,0.988806696515476,7.79090463013917e-05,-0.979872819159437,"d3","lower","3",0.001,0.9,10274,3400,"All",0.75
0.233823529411765,0.00386089839299364,-0.972514280347281,0.349328401790929,0.00275489070299222,-0.972177212244079,0.481470588235294,0.00148853731868871,-0.977790688603641,0.656219583414444,0.00202301838787787,-0.976923257306016,"d10","lower","3",0.001,0.9,10274,3400,"All",0.75
0.943823529411765,8.63027793775347e-05,-0.978074862646365,0.940237492700019,0.00010623061865188,-0.977948091855941,0.946176470588235,8.6329852420634e-05,-0.978092014376156,0.966420089546428,7.92648417198251e-05,-0.977976278328541,"religion","lower","3",0.001,0.9,10274,3400,"All",0.75
0.120882352941176,0.00538660095729966,-0.974545581198511,0.139770293945883,0.00550930887427905,-0.974288053843167,0.987941176470588,6.63474059991624e-05,-0.979998529561809,0.986276036597236,9.47932709678811e-05,-0.979891787188263,"d3","lower","3",0.02,0.9,10274,3400,"All",0.75
0.0652941176470588,0.00553844496405821,-0.970836733776216,0.0926610862371034,0.00485885503299625,-0.970055516795804,0.414705882352941,0.00297284585900982,-0.979348024599284,0.424566867821686,0.00420023710525753,-0.979112237047209,"d10","lower","3",0.02,0.9,10274,3400,"All",0.75
0.843529411764706,0.000151503050225114,-0.977994948681065,0.833073778469924,0.000201046268146348,-0.977836286523313,0.881470588235294,0.000130327233421325,-0.977997045747104,0.877944325481799,0.000158492343913163,-0.977857419950208,"religion","lower","3",0.02,0.9,10274,3400,"All",0.75
0.678529411764706,0.00206950307611586,-0.977862679079694,0.722406073583804,0.0016827469969539,-0.978114615720492,0.988529411764706,6.42340134162166e-05,-0.979996069896205,0.992213354097722,5.63825744560387e-05,-0.979847957990724,"d3","lower","3,4,5,6",0.001,0.9,10274,3400,"All",0.75
0.24,0.00377396401166618,-0.972601214728608,0.368989682694179,0.00280671406005907,-0.972121517112718,0.479705882352941,0.00101754609074894,-0.977157251933026,0.812925832197781,0.00119435940387764,-0.97608558617055,"d10","lower","3,4,5,6",0.001,0.9,10274,3400,"All",0.75
0.943823529411765,8.91032556715455e-05,-0.978066951841469,0.945104146388943,0.000106029624311362,-0.977938441148082,0.943823529411765,9.25476882422115e-05,-0.978089851625032,0.978878722990072,5.81595640050496e-05,-0.977977689803286,"religion","lower","3,4,5,6",0.001,0.9,10274,3400,"All",0.75
0.142352941176471,0.00490178509863936,-0.975030397057171,0.161475569398482,0.00509137783824109,-0.974705984879205,0.987941176470588,6.63474059991624e-05,-0.979998529561809,0.98666536889235,9.13182661808847e-05,-0.979888312183476,"d3","lower","3,4,5,6",0.02,0.9,10274,3400,"All",0.75
0.0673529411764706,0.0081939902747118,-0.968181188465563,0.0864317695152813,0.00774664428779251,-0.967165355654159,0.417058823529412,0.0029434033945971,-0.979318582134872,0.430114853027059,0.0041012509661467,-0.979013250908098,"d10","lower","3,4,5,6",0.02,0.9,10274,3400,"All",0.75
0.822352941176471,0.00031775168274319,-0.977753230248715,0.812244500681331,0.000350614928993694,-0.977615576312646,0.887647058823529,0.000123540392193614,-0.978009168774477,0.886509635974304,0.000160369398584183,-0.977848652594126,"religion","lower","3,4,5,6",0.02,0.9,10274,3400,"All",0.75
